JC CARD WARS (BALANCEADO);;;;;
Ω Supremo;;;;;
ID;Nome;Universo;AT;DF;Nível
88;Aquaman;DC;1500;1550;Convoca um exército marítimo que elimina os inimigos que tiverem 900 ou menos de AT ou DF.
89;Ciborgue;DC;1500;1550;Aumenta seus PT em 50% e desativa oponentes cibernéticos, impedindo-os de atacar ou usar HB. Dura 3T.
90;Lanterna Verde (Hal);DC;1550;1550;Cria construtos de energia: para realizar AT adicional de 1200. Que pode ser lancado no T do oponente. dura 3T
91;Sinestro;DC;1550;1500;Usa o anel do medo paralisando AT e HB de 1 oponente por 2T. E absorve 50% de sua DF permanentemente.
92;Visão;Marvel;1550;1520;Fica intangível por 3T, nao sofrendo com AT, HB e EF. Pode atravessar escudos.
93;Hela;Marvel;1550;1550;Cada oponente derrotado aumenta 50% seu AT. Com 1 sacrifício, revive 1 vilão geral
94;Loki;Marvel;1500;1500;Destrói uma linha do tempo, apagando todas as cartas adversárias do universo escolhido, na arena. (apenas 1x)
95;Ravena;DC;1550;1500;Invoca uma aura psíquica que absorve o AT de 2 oponentes, transferindo para sua DF. E anula os EF do oponente. Dura 2T.
96;Professor X;Marvel;1450;1400;Controla totalmente 1 oponente da arena ou cemitério por 3T e reduz em 50% os AT recebidos nesse período.
97;Kratos;God of War;1550;1550;Ao derrotar um oponente, incorpora sua HB. (apenas uma vez)
98;Itachi Uchiha;Naruto;1550;1550;Por 3T Aprisiona o alvo em um genjutsu, impedindo-o de usar AT e HB. E forçando-o a atacar 1 aliado por T.
99;Kokushibo;Demon Slayer;1500;1500;Carta não criada ainda
100;Scar;Fullmetal Alchemist;1500;1500;Carta não criada ainda
101;Rei Bradley;Fullmetal Alchemist;1500;1500;Carta não criada ainda
102;Zuko;Avatar;1500;1500;Carta não criada ainda
103;Katara;Avatar;1450;1550;Carta não criada ainda
104;Levi Ackerman;Attack on Titan;1500;1450;Carta não criada ainda
105;Mikasa Ackerman;Attack on Titan;1450;1500;Carta não criada ainda
106;Rukia Kuchiki;Bleach;1450;1500;Carta não criada ainda
107;Renji Abarai;Bleach;1450;1450;Carta não criada ainda
108;Ulquiorra;Bleach;1500;1450;Carta não criada ainda
109;Monstro do Pântano;DC;1450;1500;Carta não criada ainda
110;Etrigan;DC;1450;1450;Carta não criada ainda
Veterano;;;;;
ID;Nome;Universo;AT;DF;Habilidade
111;Gaara;Naruto;1400;1450;Imobiliza 1 oponente na areia, reduzindo 50% de sua DF por T. Ao fim do 2T, o oponente é eliminado, a menos que a areia atacada com 1700 ou mais.
112;Orochimaru;Naruto;1350;1400;Infecta 1 oponente com sua marca. após 3T, toma posse de seu corpo. Porem HB permanece a do Orochimaru (reutilizável).
113;Kakashi;Naruto;1350;1400;Sharingan: Copia uma HB que assistiu na arena. Além disso, pode usar Raikiri para eliminar 1 oponente no seu T.
114;Jiraiya;Naruto;1350;1350;Carta não criada ainda
115;Tsunade;Naruto;1300;1400;Carta não criada ainda
116;Hiruzen Sarutobi;Naruto;1350;1350;Carta não criada ainda
117;Ace;One Piece;1350;1300;Carta não criada ainda
118;Sabo;One Piece;1350;1300;Carta não criada ainda
119;Jinbe;One Piece;1300;1350;Carta não criada ainda
120;Sanji;One Piece;1300;1300;Carta não criada ainda
121;Tanjiro Kamado;Demon Slayer;1300;1300;Carta não criada ainda
122;Barba Branca;One Piece;1350;1350;Carta não criada ainda
123;Doflamingo;One Piece;1300;1300;Carta não criada ainda
124;King;One Piece;1300;1300;Carta não criada ainda
125;Queen;One Piece;1250;1300;Carta não criada ainda
126;Homem de Ferro;Marvel;1250;1250;Armadura Força Ômega: aumenta 1000 em seus PT por 3T. Todo dano causado gera um AT extra automático no 4T.
127;Pantera Negra;Marvel;1250;1300;Conecta-se aos ancestrais, aumentando seu AT em 500. Cada oponente derrotado concede +500 de DF permanente. dura 2T
128;Wolverine;Marvel;1300;1350;Instinto predatório: dobra seu AT por 2T. Caso resista a um AT durante esse período, reforça 50% sua DF.
129;Venom;Marvel;1300;1200;Toma posse de um oponente unindo seus Pts por 2T. Ao retornar, absorve 50% de seu AT, porem cede sua DF ao oponente.
130;Ronan;Marvel;1300;1250;Por 4T, usa o Cosmi-Rod, eliminando um oponente e tornando-se imune a AT.
Gladiador;;;;;
ID;Nome;Universo;AT;DF;Habilidade
131;Roronoa Zoro;One Piece;1200;1200;Empunhando suas três espadas, recebe +500 AT por 2T e pode atingir 3 oponentes uma única vez no seu T.
132;Trunks;Dragon Ball;1150;1200;Ao se transformar, ganha 400 PT e reduz em 20% a DF do alvo. dura 2T.
133;Goten;Dragon Ball;1150;1200;"Se transforma, podendo atacar 2 vezes por T; cada AT aumenta em 300 o proximo"
134;Pain/Nagato;Naruto;1200;1200;Carta não criada ainda
135;Obito;Naruto;1200;1150;Carta não criada ainda
136;Boruto;Naruto;1150;1150;Marca um oponente com o Karma, absorvendo sua DF no 1º T. Seu AT no 2º T, o destruindo.
137;Rock Lee (8 Portas);Naruto;1200;1100;Porta da Fera: Acelera seus movimentos, realizando 3 AT por T, Dura 3T. Mas perde 90% de DF definitivamente apos isso.
138;Neji Hyuga;Naruto;1100;1100;Ao ser atacado, reduz 80% o AT e caso sobreviva devolve 40%. A cada 3T, revela 1 carta virada para baixo do oponente.
139;Homem-Aranha;Marvel;1100;1050;Imobiliza todos os oponentes, impedindo de usarem AT e HB por 3T. Nesse período aumenta o próprio AT em 50%.
140;Máquina de Combate;Marvel;1100;1100;Carta não criada ainda
141;Colossus;Marvel;1100;1150;Carta não criada ainda
142;Homem de Gelo;Marvel;1050;1100;Carta não criada ainda
143;Carnificina;Marvel;1100;1000;Carta não criada ainda
144;Homem Formiga (Gigante);Marvel;1000;1050;Reduz seu tamanho para esquivar de 1 AT ou HB. Após, retornar ao normal, dobra seu AT.
145;Vespa (Gigante);Marvel;1050;1000;Encolhe-se para atacar e, golpeando até 3 oponentes em um T.
146;Coisa;Marvel;1100;1100;Libera sua força bruta, triplicando o AT por 2T. Porém, imediatamente a exaustão o enfraquece, e reduz imediatamente sua DF em 50%.
147;Pietro Maximoff;Marvel;1100;1000;Sua velocidade ultrapassa limites: ataca 2x por T: o primeiro usa seu AT normal, o segundo tem 1800 de AT. Dura 3T.
148;Tocha Humana;Marvel;1000;950;Lança chamas intensas, eliminando oponentes com menos de 700 de DF e reduzindo 500 a DF dos demais na arena.
149;Mutano (Formas grandes);DC;1000;1000;Pode se transformar em seu T. Escolha: Tigre: dobra o AT, Elefante: dobra a DF.
150;Estelar;DC;1050;1050;Canaliza uma explosão de energia que elimina até 2 oponentes a sua escolha.
151;Drax;Marvel;1000;1000;Dobra o AT e reduz a DF dos oponentes em 500, por 2T.
152;Gamora;Marvel;1000;1000;A cada oponente derrotado, aumenta seu AT em 50% e realiza um segundo ataque.
153;Vampira;Marvel;900;900;Absorve os PTs de 1 oponente por T e anula seu AT por 1T. Não pode atacar esse oponente no T da absorção.
154;Ciclope;Marvel;1000;950;Lança um poderoso raio óptico com 1000 de AT. Que acerta até 3 oponentes.
155;Bardock;Dragon Ball;1000;1000;Carta não criada ainda
156;Nappa;Dragon Ball;1000;1000;Carta não criada ainda
157;Oob;Dragon Ball;1000;950;Libera poder oculto por 2T: dobra seu AT e pode atacar 2x por T. Ao fim, perde 50% de sua DF permanentemente.
158;Eric Killmonger;Marvel;950;1000;Aumenta seu AT em 50%. Se derrotar 1 oponente apos ativacao, sobe para 100%
Paladino;;;;;
ID;Nome;Universo;AT;DF;Habilidade
159;Deadpool;Marvel;900;900;Quando é derrotado permite ressuscitar uma carta aliada do cemitério (próprio) que recebe 50% de aumento de AT e DF.
160;Capitão América;Marvel;850;900;Bloqueia um AT, e sua escolha: contra si ou aliados, e os rebate para qualquer adversário. pode ser usado até 2x.
161;Shuri (Pantera);Marvel;800;900;Invoca armaduras que aumentam em 50% a DF de todos os aliados por 3T.
162;Homem Elástico;Marvel;850;900;Usa seu corpo elástico para proteger a si e seus aliados 2x de AT e HB. cada uso aumenta instantemente sua DF em 500.
163;Mulher Invisível;Marvel;900;950;Cria uma barreira psíquica que desvia até 3 AT (sua escolha), contra si ou aliados. Cada desvio aumenta sua DF em 300.
164;Wong;Marvel;900;950;Cria uma barreira que absorve até 2 AT e redireciona imediatamente o dano a um oponente.
165;Viúva Negra;Marvel;800;850;Desfere AT adicional de 500 e anula ativação de HB dos demais por 2T.
166;Nebulosa;Marvel;850;850;Uma vez por T - pode usar a HB de uma carta do cemiterio. Pode ser usada 3T
167;Mística;Marvel;850;850;Copia os PTs de 1 adversario na arena. O deixando inconsciente sem atacar por 2T
168;Pepper Potts (Armadura Resgate);Marvel;800;850;Carta não criada ainda
169;Agatha Harkness;Marvel;850;850;Usa magias ancestrais para selar todos  os EF e HB dos oponentes por 4T, anulando ativos e inativos.
170;Lex Luthor (Armadura);DC;900;850;dura 2T, escolha: ativar o traje avançado para aumentar seus PTs em 1000 ou usar drones para zerar a DF de 2 oponentes.
171;Aquaman (padrão);DC;850;850;Carta não criada ainda
172;Kuririn;Dragon Ball;900;900;Lança um Kienzan em um oponente à sua escolha. Caso o oponente não seja salvo é eliminado. Pode lançar outro após 4T.
173;Tenshinhan;Dragon Ball;850;850;Ativa seu Terceiro Olho, revelando todas as cartas viradas para baixo e a mão do oponente, dura 2T.
174;Mestre Kami;Dragon Ball;850;900;Sela um oponente em um recipiente com 850 de DF, até o recipiente ser atacado. Todo dano ao recipiente atinge a vitima.
175;Sakura;Naruto;850;850;Cria uma onda de choque que impede todos os oponentes de AT por 2T. E aumenta a DF dos aliados em 400. 
176;Yamcha;Dragon Ball;800;800;Carta não criada ainda
177;Hinata Hyuga;Naruto;800;850;Carta não criada ainda
178;Nico Robin;One Piece;850;850;Carta não criada ainda
179;Franky;One Piece;850;800;Carta não criada ainda
180;Brook;One Piece;800;800;Carta não criada ainda
181;Tony Chopper;One Piece;750;800;Lança rajada de fogo com 600 de AT a um oponente, ignorando qualquer escudos. Pode ser usado 2T.
182;Sasori;Naruto;800;800;Carta não criada ainda
183;Deidara;Naruto;850;750;Carta não criada ainda
184;Hidan;Naruto;800;800;Carta não criada ainda
185;Chaos (Chiaotzu);Dragon Ball;750;750;Carta não criada ainda
186;Barba Negra;One Piece;850;850;Carta não criada ainda
Soldado;;;;;
ID;Nome;Universo;AT;DF;Habilidade
187;Justiceiro (Punisher);Marvel;700;700;Carta não criada ainda
188;Elektra;Marvel;700;700;Carta não criada ainda
189;Asa Noturna (Robin);DC;700;750;Torna-se imune a qualquer AT por 2T seguidos, nesse tempo aumenta o próprio AT em 50%.
190;Caveira Vermelha;Marvel;700;750;- Automatico - Ao eliminar um oponente, ganha 400 de DF e reduz 50% do AT dos demais oponentes por 2T.
191;Duende Verde;Marvel;700;700;Implanta caos as cartas adversárias na arena, destruindo até 2 cartas de DF menor que 1000.
192;Rocket Raccoon;Marvel;650;700;Explosivos: Reduz DF dos adversários em 50%. E elimina oponentes que ficaram com DF menor que 600.
193;Groot;Marvel;650;650;Quando destruído, volta como escudo vivo, bloqueando até 3 AT em aliados.
194;Gavião Arqueiro;Marvel;650;700;Atinge um oponente com 1500 de dano, ignorando qualquer escudo.
195;Mysterio;Marvel;600;650;Anula 2 AT de oponentes à sua escolha contra si ou seus aliados.
196;Shikamaru Nara;Naruto;650;650;Carta não criada ainda
197;Kiba Inuzuka;Naruto;650;650;Carta não criada ainda
198;Konohamaru (Jovem);Naruto;600;600;Carta não criada ainda
199;Tenten;Naruto;600;600;Carta não criada ainda
200;Senhor das Estrelas;Marvel;650;600;Carta não criada ainda
201;Crocodile;One Piece;650;650;Carta não criada ainda
Recruta;;;;;
ID;Nome;Universo;AT;DF;Habilidade
202;Batgirl;DC;500;500;Carta não criada ainda
203;Robin (Damian Wayne);DC;500;500;Carta não criada ainda
204;Capuz Vermelho (Red Hood);DC;500;500;Carta não criada ainda
205;Arsenal;DC;450;500;Carta não criada ainda
206;Canário Negro;DC;500;450;Carta não criada ainda
207;Soldado Invernal;Marvel;500;500;Carta não criada ainda
208;Fera;Marvel;500;500;Carta não criada ainda
209;Blade;Marvel;500;450;Carta não criada ainda
210;Videl;Dragon Ball;450;450;Carta não criada ainda
211;Alerquina;DC;450;500;Triplica seu AT, mas reduz sua DF pela metade, por 3T.
212;Coringa;DC;400;500;Escolha uma carta da mão do oponente aleatoriamente para si.
213;Nami;One Piece;450;500;Aumenta sua própria DF em 400 e reduz 200 PTs dos adversários na arena por 2T.
214;Usopp;One Piece;400;500;Lança um AT extra de 500 no seu T.
🎴 EFEITOS (Cartas de Suporte);;;;;
ID;Nome;Universo;AT;DF;Habilidade
1000;Criptonita;DC;—;—;Enfraquece um oponente, impedindo-o de atacar por 5T, mas permitindo que seja atacado durante esse tempo.
1001;Buraco Negro;Original/Geral;—;—;Inverte os lados da arena, trocando todas as cartas entre os jogadores
1002;O Guardião;Marvel;—;—;Realiza um desejo, limitado a 1 'Carta' dos baralhos, arena, cemitério ou mãos (requer 1 sacrifício).
1003;Poder do Destino;DC;—;—;Replica os poderes de uma carta na arena, à escolha do portador, por 1T.
1004;Ataque Duplo;Marvel;—;—;Permite que um guerreiro ataque duas vezes no mesmo turno.
1005;Zona Fantasma;DC;—;—;Aprisiona o jogador oponente, fazendo ele peder seu próximo T. 
1006;Reino Quântico;Marvel;—;—;Envia 1 oponente para o reino quântico por 3T, impossibilitando-o de atacar ou ser atacado durante esse tempo.
1007;Chocolate do Boo;Dragon Ball;—;—;Transforma um guerreiro adversário em chocolate, eliminando-o imediatamente. Nv8-: sem custo. Nv9+: 1 sacrifício. Divinos: requer 2 sacrifícios.
1008;7 Vidas;DC;—;—;Concede 2 vidas a um guerreiro escolhido, permitindo que continue na arena após ser derrotado.
1009;Escudo Lanterna Verde;DC;—;—;Cria um poderoso escudo verde, protegendo todo o seu lado da arena por 2 turnos.
1010;Surpresa do Coringa;DC;—;—;Troca 1 carta do campo com a mão do oponente, à escolha do possuidor.
1011;Um Roubo Imperfeito;DC;—;—;Permite 'roubar' aleatoriamente uma carta da mão do oponente.
1012;Apocalipse o Destruidor;DC;—;—;Destrói um guerreiro oponente, exigindo um sacrifício para ativação.
1013;Evolução do Super Homem;DC;—;—;Aumenta o AT de um guerreiro escolhido em 800 PTS.
1014;Guardiões do Tempo;Marvel;—;—;Anula todos os EF do oponente na arena, até que esta carta seja destruída com um AT superior a 2000.
1015;Defesa Maravilha;DC;—;—;Reflete 1 ataque do adversário.
1016;Simbionte;Marvel;—;—;Absorve e funde um guerreiro inimigo com um aliado por 3T, unindo suas forças. Requer 2 sacrifícios.
1017;Double Attack;Dragon Ball;—;—;Permite que dois guerreiros aliados unam seus ataques por 1T.
1018;O Cavalheiro;DC;—;—;Ressuscita 1 carta do cemitério, à escolha do portador.
1019;Morte em Família;DC;—;—;Leva ao cemitério o guerreiro adversário que eliminar o seu.
1020;Fusão Potara;Dragon Ball;—;—;"Une 2 guerreiros aliados em campo por 3T; se derrotado, o mais forte permanece vivo."
1021;Escudo Americano;Marvel;—;—;Aumenta a DF de um guerreiro escolhido em 800.
1022;Sacrifício de Ferro;Marvel;—;—;Permite ressuscitar uma carta do cemitério geral.
1023;Fusão;Dragon Ball;—;—;Une dois guerreiros aliados em campo. Quando um é derrotado, ambos são eliminados.
1024;Edo Tensei;Naruto;—;—;Utiliza 1 carta do cemitério geral com 50% dos PTs. Se o corpo permanecer vivo após 3T o EF pode ser reutilizado 1x.
1025;Sharingan;Naruto;—;—;Replica uma HB já usada na partida, seguindo sua duração original.
1054;Engenharia Capsule Corp;Dragon Ball;—;—;Engenharia: Escolha 1 Aliado na arena. Ele recebe +1000 de Defesa permanentemente.
1055;Suporte Logístico;DC;—;—;Primeiro Socorros: Restaura imediatamente 2000 HP do seu Avatar (Vida do Jogador).
1056;Intimidação Materna;Dragon Ball;—;—;Intimidação: O oponente é obrigado a pular a Fase de Batalha (ninguém ataca neste turno).
1057;Semente dos Deuses;Dragon Ball;—;—;Semente dos Deuses: Restaura 100% de AT, DF e Habilidade de um aliado (deixa a carta nova em folha).
1058;Iniciativa Vingadores;Marvel;—;—;Iniciativa Vingadores: Revele os 3 primeiros 'Vingadores' do deck. Escolha 1 para entrar diretamente na Arena.
1059;Decifre-me;DC;—;—;Decifre-me: O oponente revela a mão. Você escolhe 1 carta para ele descartar.
1060;O Campeão Chegou!;Dragon Ball;—;—;O Campeão: Faz um show que distrai o oponente. O inimigo perde o turno inteiro (Pula Compra, Estratégia e Batalha).
1061;Bara Bara no Mi (Escape);One Piece;—;—;Bara Bara no Mi: Ative quando Buggy for derrotado. Em vez de ir ao cemitério, ele retorna para sua mão.
1062;Negative Hollow;One Piece;—;—;Negative Hollow: Escolha um inimigo. O Ataque (AT) e a Defesa (DF) dele são invertidos por 2 turnos.
1063;Mane Mane no Mi (Cópia);One Piece;—;—;Mane Mane no Mi: Escolha um inimigo. Um aliado seu copia o valor de Ataque (AT) dele por 1 turno.
;ZETA (Cartas que Requerem Conjunto/Joias/Manopla/Fusões/Equipes);;;;
ZETA - EQUIPES (Cartas de Combo);;;;;
;Nome;Universo;AT;DF;Habilidade
1026;X-Men;Marvel;—;—;Irmandade Mutante: Todos os mutantes aliados ganham +400 Pts. Dura 3T. (Precisa de 3 mutantes)
1027;Vingadores;Marvel;—;—;"Reunir os Mais Fortes: Escolha 1 Vingador na arena; ele pode usar sua HB duas vezes em cada turno. Dura 2T. (Precisa de 4 Vingadores)"
1028;Quarteto Fantástico;Marvel;—;—;Sinergia Familiar: Todos os membros do Quarteto ganham +1000 Pts e ficam imunes a EF. Dura 2T. (Precisa de 4)
1029;Guardiões da Galáxia;Marvel;—;—;Manobra Coordenada: Todos os Guardiões atacam um mesmo alvo simultaneamente. O dano é somado e ignora escudos. Uso único. (Precisa de 3)
1030;Liga da Justiça;DC;—;—;Força Unida: Cria um escudo de 2000 pontos que protege apenas a liga por 3T. Ao quebrar, causa 1000 de dano aos oponentes. (Precisa de 4)
1031;Guerreiros Z;Dragon Ball;—;—;Espírito de Luta: 2 Guerreiros Z ganham +1400 de AT. Dura 2T. (Precisa de 4)
1032;Time 7;Naruto;—;—;"Trabalho em Equipe: Os 3 atacam juntos 2T; se os alvos sobreviverem, são selados e não podem atacar ou usar HB. (Precisa de 3)"
